wingo,year
World Federation of Ukrainian Women's Organizations,1988
World Federation of Ukrainian Women's Organizations,1993
World Federation of Ukrainian Women's Organizations,2003
World Federation of Ukrainian Women's Organizations,2008
World Federation of Ukrainian Women's Organizations,2013
World Movement of Mothers,1950
World Movement of Mothers,1955
World Movement of Mothers,1960
World Movement of Mothers,1965
World Movement of Mothers,1973
World Movement of Mothers,1978
World Movement of Mothers,1983
World Movement of Mothers,1988
World Movement of Mothers,1993
World Movement of Mothers,1998
World Movement of Mothers,2003
World Movement of Mothers,2008
World Movement of Mothers,2013
World Union Catholic Women's Organization,1998
World Union of Catholic Women's Organization,1955
World Union of Catholic Women's Organization,1965
World Union of Catholic Women's Organization,1973
World Union of Catholic Women's Organization,1978
World Union of Catholic Women's Organization,1983
World Union of Catholic Women's Organization,1988
World Union of Catholic Women's Organization,1993
World Union of Catholic Women's Organization,2003
World Union of Catholic Women's Organization,2008
World Union of Catholic Women's Organizations,2013
World Women Parliamentarians for Peace,1988
World Women Parliamentarians for Peace,1993
World Women Parliamentarians for Peace,1998
World Young Women's Christian Association,1955
World Young Women's Christian Association,1960
World Young Women's Christian Association,1965
World Young Women's Christian Association,1973
World Young Women's Christian Association,1978
World Young Women's Christian Association,1983
World Young Women's Christian Association,1988
World Young Women's Christian Association,1993
World Young Women's Christian Association,1998
World Young Women's Christian Association,2003
World Young Women's Christian Association,2008
World Young Women's Christian Association,2013
World Youth Alliance,2013
World's Woman's Christian Temperance Union,1960
World's Woman's Christian Temperance Union,1965
World's Woman's Christian Temperance Union,1973
World's Woman's Christian Temperance Union,1978
World's Woman's Christian Temperance Union,1983
World's Woman's Christian Temperance Union,1988
World's Woman's Christian Temperance Union,1993
World's Woman's Christian Temperance Union,1998
World's Woman's Christian Temperance Union,2003
World's Woman's Christian Temperance Union,2008
World's Woman's Christian Temperance Union,2013
World's Women's Christian Temperance Union,1955
WorldWIDE - World Women in Defense of the Environment,2013
Worldwide Organization of Women's Studies,2008
Zonta International,1955
Zonta International,1960
Zonta International,1965
Zonta International,1973
Zonta International,1978
Zonta International,1983
Zonta International,1988
Zonta International,1993
Zonta International,1998
Zonta International,2003
Zonta International,2008
Zonta International,2013
ABANTU for Development,2003
Asian Peasant Women Network,1998
Association of Women of Europe,1983
Centre d'expertises socio-politiques et de mí©diations,1998
Centre d'expertises socio-politiques et de mí©diations,2003
Centre d'expertises socio-politiques et de mí©diations,2008
Coalition of African Lesbians,2008
EuroFEM Gender and Human Settlements,2003
European Federation for the Disappearance of Prostitution,1998
European Federation for the Disappearance of Prostitution,2003
European Federation for the Disappearance of Prostitution,2008
"European Non-Governmental Organizations for Sexual and Reproductive Health and Rights, Population and Development",2003
"European Non-Governmental Organizations for Sexual and Reproductive Health and Rights, Population and Development",2008
Green Belt Movement,1993
Green Belt Movement,1998
Green Belt Movement,2003
Green Belt Movement,2008
Hunger Project,1993
Hunger Project,1998
Hunger Project,2003
Hunger Project,2008
Inter-American Parliamentary Group on Population and Development (IAPG),2008
International Baby Food Action Network,1983
International Baby Food Action Network,1988
International Baby Food Action Network,1993
International Baby Food Action Network,1998
International Baby Food Action Network,2003
International Coalition on Women and Credit,1998
International Coalition on Women and Credit,2003
International Collective in Support of Fishworkers,2008
International Commission for the Abolition of Sexual Mutilation,1988
International Committee of Solidarity with the Struggle of Women in South Africa and Namibia,1983
International Communication Network for Women,1985
International Health Awareness Network,1998
International Health Awareness Network,2003
International Health Awareness Network,2008
Latin American Movement of Working Women,1983
Latin American Movement of Working Women,1988
Mediterranean Committee on the Advancement of Women,1988
Microcredit Summit Campaign,2003
Microcredit Summit Campaign,2008
Pathfinder International,1983
Pathfinder International,1988
Pathfinder International,1993
Pathfinder International,1998
Pathfinder International,2003
Pathfinder International,2008
Population Action International,1993
Population Action International,1998
Population Action International,2003
Population Action International,2008
Settlements Information Network Africa,2008
Settlements Information Network Africa,2013
Sisterhood is Global Institute,1998
Sisterhood is Global Institute,2003
Sisterhood is Global Institute,2008
Social Watch / Control Ciudadano,2003
Social Watch / Control Ciudadano,2008
Southeast Asia Watch,2008
White Ribbon Campaign in Europe,2003
White Ribbon Campaign in Europe,2008
Women Proutists,1993
Women Proutists,1998
Women Proutists,2003
World Alliance for Breastfeeding Action,2003
World Alliance for Breastfeeding Action,2008
Green Belt Movement,1993
Green Belt Movement,1998
Green Belt Movement,2003
Green Belt Movement,2008
Hunger Project,1993
Hunger Project,1998
Hunger Project,2003
Hunger Project,2008
Inter-American Parliamentary Group on Population and Development (IAPG),2008
International Baby Food Action Network,1983
International Baby Food Action Network,1988
International Baby Food Action Network,1993
International Baby Food Action Network,1998
International Baby Food Action Network,2003
International Coalition on Women and Credit,1998
International Coalition on Women and Credit,2003
International Collective in Support of Fishworkers,2008
International Commission for the Abolition of Sexual Mutilation,1988
International Committee of Solidarity with the Struggle of Women in South Africa and Namibia,1983
International Communication Network for Women,1985
International Health Awareness Network,1998
International Health Awareness Network,2003
International Health Awareness Network,2008
Latin American Movement of Working Women,1983
Latin American Movement of Working Women,1988
Mediterranean Committee on the Advancement of Women,1988
Microcredit Summit Campaign,2003
Microcredit Summit Campaign,2008
Pathfinder International,1983
Pathfinder International,1988
Pathfinder International,1993
Pathfinder International,1998
Pathfinder International,2003
Pathfinder International,2008
Population Action International,1993
Population Action International,1998
Population Action International,2003
Population Action International,2008
Settlements Information Network Africa,2008
Settlements Information Network Africa,2013
Sisterhood is Global Institute,1998
Sisterhood is Global Institute,2003
Sisterhood is Global Institute,2008
Social Watch / Control Ciudadano,2003
Social Watch / Control Ciudadano,2008
Southeast Asia Watch,2008
White Ribbon Campaign in Europe,2003
White Ribbon Campaign in Europe,2008
Women Proutists,1993
Women Proutists,1998
Women Proutists,2003
World Alliance for Breastfeeding Action,2003
World Alliance for Breastfeeding Action,2008
Women's International Studies Europe,2013
Women's International Zionist Organization,1955
Women's International Zionist Organization,1960
Women's International Zionist Organization,1965
Women's International Zionist Organization,1973
Women's International Zionist Organization,1978
Women's International Zionist Organization,1983
Women's International Zionist Organization,1988
Women's International Zionist Organization,1993
Women's International Zionist Organization,1998
Women's International Zionist Organization,2003
Women's International Zionist Organization,2008
Women's International Zionist Organization,2013
"Women's Learning Partnership for Rights, Development and Peace",2013
Women's Network of the Council for Adult Education in Latin America,1993
Women's Network of the Council for Adult Education in Latin America,2008
Women's Network of the World Federation for Mental Health,1993
Women's Network of the World Federation for Mental Health,1998
Women's Network of the World Federation for Mental Health,2003
Women's Network of the World Federation for Mental Health,2008
Women's Squash Association,2013
Women's Working Group on Financing for Development,2013
Women's World Banking,1988
Women's World Banking,1993
Women's World Banking,1998
Women's World Banking,2003
Women's World Banking,2008
Women's World Banking,2013
"Women's World Organization for Rights, Literature and Development",2003
"Women's World Organization for Rights, Literature and Development",2008
"Women's World Organization for Rights, Literature and Development",2013
WomenSport International,2013
Womenet,1998
Womensport International,2008
World Association of Girl Guides and Girl Scouts,2013
World Association of Girls Guides and Girlscouts,1960
World Association of Girls Guides and Girlscouts,1965
World Association of Girls Guides and Girlscouts,1973
World Association of Girls Guides and Girlscouts,1978
World Association of Girls Guides and Girlscouts,1983
World Association of Girls Guides and Girlscouts,1988
World Association of Girls Guides and Girlscouts,1993
World Association of Girls Guides and Girlscouts,1998
World Association of Girls Guides and Girlscouts,2003
World Association of Girls Guides and Girlscouts,2008
World Association of Women Entrepreneurs,1960
World Association of Women Entrepreneurs,1965
World Association of Women Entrepreneurs,1973
World Association of Women Entrepreneurs,1978
World Association of Women Entrepreneurs,1983
World Association of Women Entrepreneurs,1988
World Association of Women Entrepreneurs,1993
World Association of Women Entrepreneurs,1998
World Association of Women Entrepreneurs,2003
World Association of Women Entrepreneurs,2008
World Association of Women Journalists and Writers,1998
World Association of Women Journalists and Writers,2003
World Association of Women Journalists and Writers,2008
World Emunah Religious Zionist Women's Organization,2013
World Federation of Catholic Young Women and Girls,1960
World Federation of Catholic Young Women and Girls,1965
World Federation of Methodist Women,1955
World Federation of Methodist Women,1965
World Federation of Methodist Women,1973
World Federation of Methodist Women,1988
World Federation of Methodist Women,1993
World Federation of Methodist Women,1998
World Federation of Methodist Women,2003
World Federation of Methodist Women,2008
World Federation of Methodist and Uniting Church Women,2013
World Federation of Ukrainian Women's Organizations,1988
World Federation of Ukrainian Women's Organizations,1993
World Federation of Ukrainian Women's Organizations,2003
World Federation of Ukrainian Women's Organizations,2008
World Federation of Ukrainian Women's Organizations,2013
World Movement of Mothers,1950
World Movement of Mothers,1955
World Movement of Mothers,1960
World Movement of Mothers,1965
World Movement of Mothers,1973
World Movement of Mothers,1978
World Movement of Mothers,1983
World Movement of Mothers,1988
World Movement of Mothers,1993
World Movement of Mothers,1998
World Movement of Mothers,2003
World Movement of Mothers,2008
World Movement of Mothers,2013
World Union Catholic Women's Organization,1998
World Union of Catholic Women's Organization,1955
World Union of Catholic Women's Organization,1965
World Union of Catholic Women's Organization,1973
World Union of Catholic Women's Organization,1978
World Union of Catholic Women's Organization,1983
World Union of Catholic Women's Organization,1988
World Union of Catholic Women's Organization,1993
World Union of Catholic Women's Organization,2003
World Union of Catholic Women's Organization,2008
World Union of Catholic Women's Organizations,2013
World Women Parliamentarians for Peace,1988
World Women Parliamentarians for Peace,1993
World Women Parliamentarians for Peace,1998
World Young Women's Christian Association,1955
World Young Women's Christian Association,1960
World Young Women's Christian Association,1965
World Young Women's Christian Association,1973
World Young Women's Christian Association,1978
World Young Women's Christian Association,1983
World Young Women's Christian Association,1988
World Young Women's Christian Association,1993
World Young Women's Christian Association,1998
World Young Women's Christian Association,2003
World Young Women's Christian Association,2008
World Young Women's Christian Association,2013
World Youth Alliance,2013
World's Woman's Christian Temperance Union,1960
World's Woman's Christian Temperance Union,1965
World's Woman's Christian Temperance Union,1973
World's Woman's Christian Temperance Union,1978
World's Woman's Christian Temperance Union,1983
World's Woman's Christian Temperance Union,1988
World's Woman's Christian Temperance Union,1993
World's Woman's Christian Temperance Union,1998
World's Woman's Christian Temperance Union,2003
World's Woman's Christian Temperance Union,2008
World's Woman's Christian Temperance Union,2013
World's Women's Christian Temperance Union,1955
WorldWIDE - World Women in Defense of the Environment,2013
Worldwide Organization of Women's Studies,2008
Zonta International,1955
Zonta International,1960
Zonta International,1965
Zonta International,1973
Zonta International,1978
Zonta International,1983
Zonta International,1988
Zonta International,1993
Zonta International,1998
Zonta International,2003
Zonta International,2008
Zonta International,2013
ABANTU for Development,2003
Asian Peasant Women Network,1998
Association of Women of Europe,1983
Centre d'expertises socio-politiques et de mí©diations,1998
Centre d'expertises socio-politiques et de mí©diations,2003
Centre d'expertises socio-politiques et de mí©diations,2008
Coalition of African Lesbians,2008
EuroFEM Gender and Human Settlements,2003
European Federation for the Disappearance of Prostitution,1998
European Federation for the Disappearance of Prostitution,2003
European Federation for the Disappearance of Prostitution,2008
"European Non-Governmental Organizations for Sexual and Reproductive Health and Rights, Population and Development",2003
"European Non-Governmental Organizations for Sexual and Reproductive Health and Rights, Population and Development",2008
Green Belt Movement,1993
Green Belt Movement,1998
Green Belt Movement,2003
Green Belt Movement,2008
Hunger Project,1993
Hunger Project,1998
Hunger Project,2003
Hunger Project,2008
Inter-American Parliamentary Group on Population and Development (IAPG),2008
International Baby Food Action Network,1983
International Baby Food Action Network,1988
International Baby Food Action Network,1993
International Baby Food Action Network,1998
International Baby Food Action Network,2003
International Coalition on Women and Credit,1998
International Coalition on Women and Credit,2003
International Collective in Support of Fishworkers,2008
International Commission for the Abolition of Sexual Mutilation,1988
International Committee of Solidarity with the Struggle of Women in South Africa and Namibia,1983
International Communication Network for Women,1985
International Health Awareness Network,1998
International Health Awareness Network,2003
International Health Awareness Network,2008
Latin American Movement of Working Women,1983
Latin American Movement of Working Women,1988
Mediterranean Committee on the Advancement of Women,1988
Microcredit Summit Campaign,2003
Microcredit Summit Campaign,2008
Pathfinder International,1983
Pathfinder International,1988
Pathfinder International,1993
Pathfinder International,1998
Pathfinder International,2003
Pathfinder International,2008
Population Action International,1993
Population Action International,1998
Population Action International,2003
Population Action International,2008
Settlements Information Network Africa,2008
Settlements Information Network Africa,2013
Sisterhood is Global Institute,1998
Sisterhood is Global Institute,2003
Sisterhood is Global Institute,2008
Social Watch / Control Ciudadano,2003
Social Watch / Control Ciudadano,2008
Southeast Asia Watch,2008
White Ribbon Campaign in Europe,2003
White Ribbon Campaign in Europe,2008
Women Proutists,1993
Women Proutists,1998
Women Proutists,2003
World Alliance for Breastfeeding Action,2003
World Alliance for Breastfeeding Action,2008
Green Belt Movement,1993
Green Belt Movement,1998
Green Belt Movement,2003
Green Belt Movement,2008
Hunger Project,1993
Hunger Project,1998
Hunger Project,2003
Hunger Project,2008
Inter-American Parliamentary Group on Population and Development (IAPG),2008
International Baby Food Action Network,1983
International Baby Food Action Network,1988
International Baby Food Action Network,1993
International Baby Food Action Network,1998
International Baby Food Action Network,2003
International Coalition on Women and Credit,1998
International Coalition on Women and Credit,2003
International Collective in Support of Fishworkers,2008
International Commission for the Abolition of Sexual Mutilation,1988
International Committee of Solidarity with the Struggle of Women in South Africa and Namibia,1983
International Communication Network for Women,1985
International Health Awareness Network,1998
International Health Awareness Network,2003
International Health Awareness Network,2008
Latin American Movement of Working Women,1983
Latin American Movement of Working Women,1988
Mediterranean Committee on the Advancement of Women,1988
Microcredit Summit Campaign,2003
Microcredit Summit Campaign,2008
Pathfinder International,1983
Pathfinder International,1988
Pathfinder International,1993
Pathfinder International,1998
Pathfinder International,2003
Pathfinder International,2008
Population Action International,1993
Population Action International,1998
Population Action International,2003
Population Action International,2008
Settlements Information Network Africa,2008
Settlements Information Network Africa,2013
Sisterhood is Global Institute,1998
Sisterhood is Global Institute,2003
Sisterhood is Global Institute,2008
Social Watch / Control Ciudadano,2003
Social Watch / Control Ciudadano,2008
Southeast Asia Watch,2008
White Ribbon Campaign in Europe,2003
White Ribbon Campaign in Europe,2008
Women Proutists,1993
Women Proutists,1998
Women Proutists,2003
World Alliance for Breastfeeding Action,2003
World Alliance for Breastfeeding Action,2008
Women's International Studies Europe,2013
Women's International Zionist Organization,1955
Women's International Zionist Organization,1960
Women's International Zionist Organization,1965
Women's International Zionist Organization,1973
Women's International Zionist Organization,1978
Women's International Zionist Organization,1983
Women's International Zionist Organization,1988
Women's International Zionist Organization,1993
Women's International Zionist Organization,1998
Women's International Zionist Organization,2003
Women's International Zionist Organization,2008
Women's International Zionist Organization,2013
"Women's Learning Partnership for Rights, Development and Peace",2013
Women's Network of the Council for Adult Education in Latin America,1993
Women's Network of the Council for Adult Education in Latin America,2008
Women's Network of the World Federation for Mental Health,1993
Women's Network of the World Federation for Mental Health,1998
Women's Network of the World Federation for Mental Health,2003
Women's Network of the World Federation for Mental Health,2008
Women's Squash Association,2013
Women's Working Group on Financing for Development,2013
Women's World Banking,1988
Women's World Banking,1993
Women's World Banking,1998
Women's World Banking,2003
Women's World Banking,2008
Women's World Banking,2013
"Women's World Organization for Rights, Literature and Development",2003
"Women's World Organization for Rights, Literature and Development",2008
"Women's World Organization for Rights, Literature and Development",2013
WomenSport International,2013
Womenet,1998
Womensport International,2008
World Association of Girl Guides and Girl Scouts,2013
World Association of Girls Guides and Girlscouts,1960
World Association of Girls Guides and Girlscouts,1965
World Association of Girls Guides and Girlscouts,1973
World Association of Girls Guides and Girlscouts,1978
World Association of Girls Guides and Girlscouts,1983
World Association of Girls Guides and Girlscouts,1988
World Association of Girls Guides and Girlscouts,1993
World Association of Girls Guides and Girlscouts,1998
World Association of Girls Guides and Girlscouts,2003
World Association of Girls Guides and Girlscouts,2008
World Association of Women Entrepreneurs,1960
World Association of Women Entrepreneurs,1965
World Association of Women Entrepreneurs,1973
World Association of Women Entrepreneurs,1978
World Association of Women Entrepreneurs,1983
World Association of Women Entrepreneurs,1988
World Association of Women Entrepreneurs,1993
World Association of Women Entrepreneurs,1998
World Association of Women Entrepreneurs,2003
World Association of Women Entrepreneurs,2008
World Association of Women Journalists and Writers,1998
World Association of Women Journalists and Writers,2003
World Association of Women Journalists and Writers,2008
World Emunah Religious Zionist Women's Organization,2013
World Federation of Catholic Young Women and Girls,1960
World Federation of Catholic Young Women and Girls,1965
World Federation of Methodist Women,1955
World Federation of Methodist Women,1965
World Federation of Methodist Women,1973
World Federation of Methodist Women,1988
World Federation of Methodist Women,1993
World Federation of Methodist Women,1998
World Federation of Methodist Women,2003
World Federation of Methodist Women,2008
World Federation of Methodist and Uniting Church Women,2013
World Federation of Ukrainian Women's Organizations,1988
World Federation of Ukrainian Women's Organizations,1993
World Federation of Ukrainian Women's Organizations,2003
World Federation of Ukrainian Women's Organizations,2008
World Federation of Ukrainian Women's Organizations,2013
World Movement of Mothers,1950
World Movement of Mothers,1955
World Movement of Mothers,1960
World Movement of Mothers,1965
World Movement of Mothers,1973
World Movement of Mothers,1978
World Movement of Mothers,1983
World Movement of Mothers,1988
World Movement of Mothers,1993
World Movement of Mothers,1998
World Movement of Mothers,2003
World Movement of Mothers,2008
World Movement of Mothers,2013
World Union Catholic Women's Organization,1998
World Union of Catholic Women's Organization,1955
World Union of Catholic Women's Organization,1965
World Union of Catholic Women's Organization,1973
World Union of Catholic Women's Organization,1978
World Union of Catholic Women's Organization,1983
World Union of Catholic Women's Organization,1988
World Union of Catholic Women's Organization,1993
World Union of Catholic Women's Organization,2003
World Union of Catholic Women's Organization,2008
World Union of Catholic Women's Organizations,2013
World Women Parliamentarians for Peace,1988
World Women Parliamentarians for Peace,1993
World Women Parliamentarians for Peace,1998
World Young Women's Christian Association,1955
World Young Women's Christian Association,1960
World Young Women's Christian Association,1965
World Young Women's Christian Association,1973
World Young Women's Christian Association,1978
World Young Women's Christian Association,1983
World Young Women's Christian Association,1988
World Young Women's Christian Association,1993
World Young Women's Christian Association,1998
World Young Women's Christian Association,2003
World Young Women's Christian Association,2008
World Young Women's Christian Association,2013
World Youth Alliance,2013
World's Woman's Christian Temperance Union,1960
World's Woman's Christian Temperance Union,1965
World's Woman's Christian Temperance Union,1973
World's Woman's Christian Temperance Union,1978
World's Woman's Christian Temperance Union,1983
World's Woman's Christian Temperance Union,1988
World's Woman's Christian Temperance Union,1993
World's Woman's Christian Temperance Union,1998
World's Woman's Christian Temperance Union,2003
World's Woman's Christian Temperance Union,2008
World's Woman's Christian Temperance Union,2013
World's Women's Christian Temperance Union,1955
WorldWIDE - World Women in Defense of the Environment,2013
Worldwide Organization of Women's Studies,2008
Zonta International,1955
Zonta International,1960
Zonta International,1965
Zonta International,1973
Zonta International,1978
Zonta International,1983
Zonta International,1988
Zonta International,1993
Zonta International,1998
Zonta International,2003
Zonta International,2008
Zonta International,2013
ABANTU for Development,2003
Asian Peasant Women Network,1998
Association of Women of Europe,1983
Centre d'expertises socio-politiques et de mí©diations,1998
Centre d'expertises socio-politiques et de mí©diations,2003
Centre d'expertises socio-politiques et de mí©diations,2008
Coalition of African Lesbians,2008
EuroFEM Gender and Human Settlements,2003
European Federation for the Disappearance of Prostitution,1998
European Federation for the Disappearance of Prostitution,2003
European Federation for the Disappearance of Prostitution,2008
"European Non-Governmental Organizations for Sexual and Reproductive Health and Rights, Population and Development",2003
"European Non-Governmental Organizations for Sexual and Reproductive Health and Rights, Population and Development",2008
Green Belt Movement,1993
Green Belt Movement,1998
Green Belt Movement,2003
Green Belt Movement,2008
Hunger Project,1993
Hunger Project,1998
Hunger Project,2003
Hunger Project,2008
Inter-American Parliamentary Group on Population and Development (IAPG),2008
International Baby Food Action Network,1983
International Baby Food Action Network,1988
International Baby Food Action Network,1993
International Baby Food Action Network,1998
International Baby Food Action Network,2003
International Coalition on Women and Credit,1998
International Coalition on Women and Credit,2003
International Collective in Support of Fishworkers,2008
International Commission for the Abolition of Sexual Mutilation,1988
International Committee of Solidarity with the Struggle of Women in South Africa and Namibia,1983
International Communication Network for Women,1985
International Health Awareness Network,1998
International Health Awareness Network,2003
International Health Awareness Network,2008
Latin American Movement of Working Women,1983
Latin American Movement of Working Women,1988
Mediterranean Committee on the Advancement of Women,1988
Microcredit Summit Campaign,2003
Microcredit Summit Campaign,2008
Pathfinder International,1983
Pathfinder International,1988
Pathfinder International,1993
Pathfinder International,1998
Pathfinder International,2003
Pathfinder International,2008
Population Action International,1993
Population Action International,1998
Population Action International,2003
Population Action International,2008
Settlements Information Network Africa,2008
Settlements Information Network Africa,2013
Sisterhood is Global Institute,1998
Sisterhood is Global Institute,2003
Sisterhood is Global Institute,2008
Social Watch / Control Ciudadano,2003
Social Watch / Control Ciudadano,2008
Southeast Asia Watch,2008
White Ribbon Campaign in Europe,2003
White Ribbon Campaign in Europe,2008
Women Proutists,1993
Women Proutists,1998
Women Proutists,2003
World Alliance for Breastfeeding Action,2003
World Alliance for Breastfeeding Action,2008
Green Belt Movement,1993
Green Belt Movement,1998
Green Belt Movement,2003
Green Belt Movement,2008
Hunger Project,1993
Hunger Project,1998
Hunger Project,2003
Hunger Project,2008
Inter-American Parliamentary Group on Population and Development (IAPG),2008
International Baby Food Action Network,1983
International Baby Food Action Network,1988
International Baby Food Action Network,1993
International Baby Food Action Network,1998
International Baby Food Action Network,2003
International Coalition on Women and Credit,1998
International Coalition on Women and Credit,2003
International Collective in Support of Fishworkers,2008
International Commission for the Abolition of Sexual Mutilation,1988
International Committee of Solidarity with the Struggle of Women in South Africa and Namibia,1983
International Communication Network for Women,1985
International Health Awareness Network,1998
International Health Awareness Network,2003
International Health Awareness Network,2008
Latin American Movement of Working Women,1983
Latin American Movement of Working Women,1988
Mediterranean Committee on the Advancement of Women,1988
Microcredit Summit Campaign,2003
Microcredit Summit Campaign,2008
Pathfinder International,1983
Pathfinder International,1988
Pathfinder International,1993
Pathfinder International,1998
Pathfinder International,2003
Pathfinder International,2008
Population Action International,1993
Population Action International,1998
Population Action International,2003
Population Action International,2008
Settlements Information Network Africa,2008
Settlements Information Network Africa,2013
Sisterhood is Global Institute,1998
Sisterhood is Global Institute,2003
Sisterhood is Global Institute,2008
Social Watch / Control Ciudadano,2003
Social Watch / Control Ciudadano,2008
Southeast Asia Watch,2008
White Ribbon Campaign in Europe,2003
White Ribbon Campaign in Europe,2008
Women Proutists,1993
Women Proutists,1998
Women Proutists,2003
World Alliance for Breastfeeding Action,2003
World Alliance for Breastfeeding Action,2008